sample_name	target	off_target	off_target_cosine	off_target_rank	source
dec_BTK_0127	BTK	BMX	0.2552	40	exact
dec_BTK_0127	BTK	TEC	0.2323	51	exact
dec_BTK_0127	BTK	ERBB2	0.1562		exact
dec_BTK_0127	BTK	ERBB4	0.1402		exact
dec_BTK_0128	BTK	CSK	0.1548		exact
dec_BTK_0128	BTK	ITK	0.1916		exact
dec_BTK_0128	BTK	EGFR	0.0876		exact
dec_BTK_0128	BTK	BMX	0.2513	53	exact
dec_BTK_0128	BTK	TEC	0.2307	54	exact
dec_BTK_0128	BTK	ERBB2	0.1015		exact
dec_BTK_0128	BTK	ERBB4	0.0873		exact
dec_BTK_0129	BTK	CSK	0.1115		exact
dec_BTK_0129	BTK	ITK	0.2134	50	exact
dec_BTK_0129	BTK	EGFR	0.0114		exact
dec_BTK_0129	BTK	BMX	0.2728	41	exact
dec_BTK_0129	BTK	TEC	0.2074	51	exact
dec_BTK_0129	BTK	ERBB2	0.0100		exact
dec_BTK_0129	BTK	ERBB4	0.0004		exact
dec_BTK_0130	BTK	CSK	0.1256		exact
dec_BTK_0130	BTK	ITK	0.1926	59	exact
dec_BTK_0130	BTK	EGFR	0.0371		exact
dec_BTK_0130	BTK	BMX	0.2681	39	exact
dec_BTK_0130	BTK	TEC	0.2035	55	exact
dec_BTK_0130	BTK	ERBB2	0.0398		exact
dec_BTK_0130	BTK	ERBB4	0.0276		exact
dec_BTK_0132	BTK	CSK	0.1744		exact
dec_BTK_0132	BTK	ITK	0.2785	3	exact
dec_BTK_0132	BTK	EGFR	0.1392		exact
dec_BTK_0132	BTK	BMX	0.2732	6	exact
dec_BTK_0132	BTK	TEC	0.2711	7	exact
dec_BTK_0132	BTK	ERBB2	0.1381		exact
dec_BTK_0132	BTK	ERBB4	0.1309		exact
dec_BTK_0133	BTK	CSK	0.1822		exact
dec_BTK_0133	BTK	ITK	0.2166		exact
dec_BTK_0133	BTK	EGFR	0.2157		exact
dec_BTK_0133	BTK	BMX	0.2281		exact
dec_BTK_0133	BTK	TEC	0.2283		exact
dec_BTK_0133	BTK	ERBB2	0.2029		exact
dec_BTK_0133	BTK	ERBB4	0.2151		exact
dec_BTK_0135	BTK	CSK	0.1931	69	exact
dec_BTK_0135	BTK	ITK	0.2465	5	exact
dec_BTK_0135	BTK	EGFR	0.1297		exact
dec_BTK_0135	BTK	BMX	0.2349	7	exact
dec_BTK_0135	BTK	TEC	0.2526	4	exact
dec_BTK_0135	BTK	ERBB2	0.1428		exact
dec_BTK_0135	BTK	ERBB4	0.1371		exact
dec_BTK_0136	BTK	CSK	0.1512		exact
dec_BTK_0136	BTK	ITK	0.2369	48	exact
dec_BTK_0136	BTK	EGFR	0.1351		exact
dec_BTK_0136	BTK	BMX	0.2606	8	exact
dec_BTK_0136	BTK	TEC	0.2385	46	exact
dec_BTK_0136	BTK	ERBB2	0.1245		exact
dec_BTK_0136	BTK	ERBB4	0.1426		exact
dec_BTK_0138	BTK	CSK	0.1148		exact
dec_BTK_0138	BTK	ITK	0.2102	48	exact
dec_BTK_0138	BTK	EGFR	0.0585		exact
dec_BTK_0138	BTK	BMX	0.2656	47	exact
dec_BTK_0138	BTK	TEC	0.1994	65	exact
dec_BTK_0138	BTK	ERBB2	0.0646		exact
dec_BTK_0138	BTK	ERBB4	0.0591		exact
dec_BTK_0139	BTK	CSK	0.2138	38	exact
dec_BTK_0139	BTK	ITK	0.2107	39	exact
dec_BTK_0139	BTK	EGFR	0.1385		exact
dec_BTK_0139	BTK	BMX	0.2154	44	exact
dec_BTK_0139	BTK	TEC	0.2223	4	exact
dec_BTK_0139	BTK	ERBB2	0.1463		exact
dec_BTK_0139	BTK	ERBB4	0.1435		exact
dec_BTK_0141	BTK	CSK	0.1327		exact
dec_BTK_0141	BTK	ITK	0.2177	19	exact
dec_BTK_0141	BTK	EGFR	0.1056		exact
dec_BTK_0141	BTK	BMX	0.2041	43	exact
dec_BTK_0141	BTK	TEC	0.2325	4	exact
dec_BTK_0141	BTK	ERBB2	0.1216		exact
dec_BTK_0141	BTK	ERBB4	0.1159		exact
dec_BTK_0142	BTK	CSK	0.1232		exact
dec_BTK_0142	BTK	ITK	0.2360	9	exact
dec_BTK_0142	BTK	EGFR	0.1191		exact
dec_BTK_0142	BTK	BMX	0.2385	16	exact
dec_BTK_0142	BTK	TEC	0.2543	4	exact
dec_BTK_0142	BTK	ERBB2	0.1138		exact
dec_BTK_0142	BTK	ERBB4	0.1241		exact
dec_BTK_0143	BTK	CSK	0.2080	41	exact
dec_BTK_0143	BTK	ITK	0.2151	38	exact
dec_BTK_0143	BTK	EGFR	0.1324		exact
