sample_name	target	off_target	off_target_pidx	cosine
dec_BTK_0103	BTK	ITK	22283	0.2889
dec_BTK_0103	BTK	EGFR	19976	0.0776
dec_BTK_0103	BTK	BMX	21763	0.2704
dec_BTK_0103	BTK	TEC	21514	0.2640
dec_BTK_0103	BTK	ERBB2	20130	0.0782
dec_BTK_0103	BTK	ERBB4	22387	0.0929
dec_BTK_0104	BTK	CSK	21475	0.0920
dec_BTK_0104	BTK	ITK	22283	0.1830
dec_BTK_0104	BTK	EGFR	19976	0.0151
dec_BTK_0104	BTK	BMX	21763	0.2680
dec_BTK_0104	BTK	TEC	21514	0.2180
dec_BTK_0104	BTK	ERBB2	20130	0.0145
dec_BTK_0104	BTK	ERBB4	22387	0.0049
dec_BTK_0105	BTK	CSK	21475	0.2164
dec_BTK_0105	BTK	ITK	22283	0.2533
dec_BTK_0105	BTK	EGFR	19976	0.1494
dec_BTK_0105	BTK	BMX	21763	0.2400
dec_BTK_0105	BTK	TEC	21514	0.2768
dec_BTK_0105	BTK	ERBB2	20130	0.1518
dec_BTK_0105	BTK	ERBB4	22387	0.1710
dec_BTK_0106	BTK	CSK	21475	0.1678
dec_BTK_0106	BTK	ITK	22283	0.2718
dec_BTK_0106	BTK	EGFR	19976	0.1667
dec_BTK_0106	BTK	BMX	21763	0.2574
dec_BTK_0106	BTK	TEC	21514	0.2731
dec_BTK_0106	BTK	ERBB2	20130	0.1750
dec_BTK_0106	BTK	ERBB4	22387	0.1743
dec_BTK_0107	BTK	CSK	21475	0.2099
dec_BTK_0107	BTK	ITK	22283	0.2680
dec_BTK_0107	BTK	EGFR	19976	0.1891
dec_BTK_0107	BTK	BMX	21763	0.2508
dec_BTK_0107	BTK	TEC	21514	0.2783
dec_BTK_0107	BTK	ERBB2	20130	0.1897
